施設名,カテゴリ,都道府県,市区町村,最寄駅,対象年齢,予算,屋内外,URL
ミキモト真珠島,博物館・科学館,三重県,鳥羽市,,4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-lqbo
ラウンドワンスタジアム みえ・川越IC店,屋内施設,三重県,川越町,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/IC-z8qf
伊勢シーパラダイス,水族館,三重県,伊勢市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-vibp
三重県総合博物館 MieMu,博物館・科学館,三重県,津市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/MieMu-voub
志摩スペイン村,遊園地,三重県,志摩市,,2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-5lrk
鳥羽水族館,水族館,三重県,鳥羽市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-nz74
名古屋アンパンマンこどもミュージアム＆パーク,遊園地,三重県,桑名市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-pxkl
鈴鹿サーキット,遊園地,三重県,鈴鹿市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-whrs
ザ・キッズ 山形イオンモール三川店,屋内施設,山形県,三川町,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-ezxe
べにっこひろば,屋内施設,山形県,山形市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-3pov
ホースガーデンむらやま,牧場,山形県,村山市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-ezac
やまぎん県民ホール（やまぎんこども館）,屋内施設,山形県,山形市,,0-1/2-3,〜1000円,屋内,https://kyounoko.jp/spot/-ih6m
リナワールド,遊園地,山形県,上山市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-d7nh
加茂水族館,水族館,山形県,鶴岡市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-65lh
月山あさひサンチュアパーク,公園,山形県,鶴岡市,,4-6,〜1000円,屋外,https://kyounoko.jp/spot/-kbvq
西蔵王公園,公園,山形県,山形市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-pmw9
蔵王温泉,季節体験,山形県,山形市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-tvss
鶴岡市立加茂水族館,水族館,山形県,鶴岡市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-u52t
天童市子育て未来館 げんキッズ,屋内施設,山形県,天童市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-biv7
キッズランドUS フジグラン山口店,屋内施設,山口県,山口市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/US-gaih
ときわ動物園,動物園,山口県,宇部市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-7h23
ふくふくこども館,屋内施設,山口県,下関市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-6h41
愛宕山ふくろう公園,公園,山口県,岩国市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-gwg0
下関市立しものせき水族館 海響館,水族館,山口県,下関市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-l847
海響館（下関市立しものせき水族館）,水族館,山口県,下関市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-1qq5
吉香公園,公園,山口県,岩国市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-8j4a
山口県立山口博物館,博物館・科学館,山口県,山口市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-4u60
秋吉台サファリランド,動物園,山口県,美祢市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-qoew
秋吉台自然動物公園サファリランド,動物園,山口県,美祢市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-ls3y
大平山山頂公園,公園,山口県,防府市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-zesq
長門おもちゃ美術館,屋内施設,山口県,長門市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-2ucl
防府市青少年科学館ソラール,博物館・科学館,山口県,防府市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-9vqj
ハイジの村,公園,山梨県,北杜市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-gwk0
ふじさんのぬく森キポキポ,屋内施設,山梨県,富士吉田市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-pte3
愛宕山こどもの国,公園,山梨県,甲府市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-xe53
山梨県笛吹川フルーツ公園,公園,山梨県,山梨市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-wnyk
山梨県立リニア見学センター,博物館・科学館,山梨県,都留市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-a39q
山梨県立科学館,博物館・科学館,山梨県,甲府市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-lvdu
山梨県立考古博物館,博物館・科学館,山梨県,甲府市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-67jb
山梨県立富士湧水の里水族館,水族館,山梨県,忍野村,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-0ayy
清泉寮ジャージー牧場,牧場,山梨県,北杜市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-g7yo
曽根丘陵公園,公園,山梨県,甲府市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-bn8u
富士すばるランド,遊園地,山梨県,富士河口湖町,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-74su
富士急ハイランド,遊園地,山梨県,富士吉田市,,4-6,3000円〜,屋外,https://kyounoko.jp/spot/-85p7
ブルーメの丘,牧場,滋賀県,日野町,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-kp2f
ヤンマーミュージアム,博物館・科学館,滋賀県,長浜市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-gzz0
ロクハ公園,公園,滋賀県,草津市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-d6c1
滋賀県立びわ湖こどもの国,公園,滋賀県,高島市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-w3px
滋賀県立陶芸の森,公園,滋賀県,甲賀市,,2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-4u9w
滋賀県立琵琶湖博物館,博物館・科学館,滋賀県,草津市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-tp00
滋賀農業公園ブルーメの丘,牧場,滋賀県,日野町,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-ttr7
水のめぐみ館 アクア琵琶,博物館・科学館,滋賀県,大津市,,2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-7qgu
草津市立水生植物公園みずの森,公園,滋賀県,草津市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-cwxx
琵琶湖博物館,博物館・科学館,滋賀県,草津市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-fwjg
彦根城,公園,滋賀県,彦根市,,4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-pncw
いおワールドかごしま水族館,水族館,鹿児島県,鹿児島市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-sh35
リトルプラネット イオンモールKAGOSHIMA BAY,屋内施設,鹿児島県,鹿児島市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/KAGOSHIMA-BAY-f8ac
鹿児島ふれあいスポーツランド,遊園地,鹿児島県,鹿児島市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-51de
鹿児島県立吉野公園,公園,鹿児島県,鹿児島市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-mdr8
鹿児島県立大隅広域公園,公園,鹿児島県,鹿屋市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-2370
鹿児島市中央公園,公園,鹿児島県,鹿児島市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-61tv
鹿児島市立科学館,博物館・科学館,鹿児島県,鹿児島市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-z342
谷山第二中央公園,公園,鹿児島県,鹿児島市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-pvx6
知育玩具広場 そだて宇宿店,屋内施設,鹿児島県,鹿児島市,,0-1/2-3,〜1000円,屋内,https://kyounoko.jp/spot/-qqkl
平川動物公園,動物園,鹿児島県,鹿児島市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-bkil
霧島市こども館 すかいぴあ,屋内施設,鹿児島県,霧島市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-40z8
サイエンスパーク・能代市子ども館,博物館・科学館,秋田県,能代市,,2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-0kad
なまはげ館,博物館・科学館,秋田県,男鹿市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-5w8v
ポンポコ山公園,公園,秋田県,八峰町,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-wn58
ワンダーキャッスル,屋内施設,秋田県,由利本荘市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-rvwx
秋田県児童会館 みらいあ,屋内施設,秋田県,秋田市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-oemp
秋田県立中央公園,公園,秋田県,秋田市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-nx50
秋田県立博物館,博物館・科学館,秋田県,秋田市,,4-6,無料,屋内,https://kyounoko.jp/spot/-ob9i
秋田市大森山動物園,動物園,秋田県,秋田市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-opge
秋田市大森山動物園ミルヴェ,動物園,秋田県,秋田市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-kmyp
男鹿水族館 GAO,水族館,秋田県,男鹿市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/GAO-owbc
男鹿水族館GAO,水族館,秋田県,男鹿市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/GAO-wc8y
鳥海山 木のおもちゃ館,屋内施設,秋田県,由利本荘市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-c01l
能代エナジアムパーク,博物館・科学館,秋田県,能代市,,2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-0h6i
Jump862,屋内施設,新潟県,新発田市,,4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/Jump862-vfev
いくとぴあ食花,公園,新潟県,新潟市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-k28d
こども創造センター,屋内施設,新潟県,新潟市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-zr6s
ザ・キッズ 新潟イオン白根店,屋内施設,新潟県,新潟市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-pxx8
サントピアワールド,遊園地,新潟県,阿賀野市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-hqzv
マリンピア日本海,水族館,新潟県,新潟市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-vrzb
国営越後丘陵公園,公園,新潟県,長岡市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-b5lt
上越科学館,博物館・科学館,新潟県,上越市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ltn2
上越市立水族博物館 うみがたり,水族館,新潟県,上越市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-yhke
新潟県立自然科学館,博物館・科学館,新潟県,新潟市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ogh5
新潟市水族館 マリンピア日本海,水族館,新潟県,新潟市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-m5zj
長岡市寺泊水族博物館,水族館,新潟県,長岡市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-p1vd
悠久山公園,公園,新潟県,長岡市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-vk9z
MARK IS みなとみらい,屋内施設,神奈川県,横浜市,minato-mirai,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/MARK-IS-3lb7
カップヌードルミュージアム横浜,博物館・科学館,神奈川県,横浜市,minato-mirai,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-0dnc
グランツリー武蔵小杉,屋内施設,神奈川県,川崎市,musashi-kosugi,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-wyvr
こどもの国 アクアシスパーク,公園,神奈川県,横浜市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-vcc5
こどもの国（横浜）,公園,神奈川県,横浜市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-seao
コレットマーレ桜木町,屋内施設,神奈川県,横浜市,sakuragicho,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-fl27
シルク博物館,博物館・科学館,神奈川県,横浜市,kannai,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-yp1b
テラスモール湘南,屋内施設,神奈川県,藤沢市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-5a8h
はまぎん こども宇宙科学館,博物館・科学館,神奈川県,横浜市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-v5mu
みなとみらい東急スクエア,屋内施設,神奈川県,横浜市,minato-mirai,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-yfz8
よこはま動物園ズーラシア,動物園,神奈川県,横浜市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-0q1d
横浜・八景島シーパラダイス,水族館,神奈川県,横浜市,,2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-n9uc
横浜アンパンマンこどもミュージアム,屋内施設,神奈川県,横浜市,minato-mirai,0-1/2-3,1000〜3000円,屋内,https://kyounoko.jp/spot/-3lg7
横浜ベイクォーター,屋内施設,神奈川県,横浜市,yokohama,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-xj09
県立四季の森公園 じゃぶじゃぶ池,公園,神奈川県,横浜市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-lryo
原鉄道模型博物館,博物館・科学館,神奈川県,横浜市,yokohama,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-im0s
江ノ島水族館前ビーチ・片瀬東浜,季節体験,神奈川県,藤沢市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-ihyr
小田原こどもの森公園わんぱくらんど,公園,神奈川県,小田原市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-45ei
湘南台文化センターこども館,博物館・科学館,神奈川県,藤沢市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-vp4m
新江ノ島水族館,水族館,神奈川県,藤沢市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-83v5
神奈川県立 生命の星・地球博物館,博物館・科学館,神奈川県,小田原市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-zb2v
生田緑地,公園,神奈川県,川崎市,noborito,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-ulqk
川崎市 藤子・F・不二雄ミュージアム,博物館・科学館,神奈川県,川崎市,noborito,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/F-414c
辻堂海浜公園,公園,神奈川県,藤沢市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-xmrt
辻堂海浜公園 ジャンボプール,遊園地,神奈川県,藤沢市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-yrt1
箱根彫刻の森美術館,博物館・科学館,神奈川県,箱根町,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-oib6
箱根湯本駅前 旧街道周辺,季節体験,神奈川県,箱根町,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-qopl
The Kids（ザ・キッズ）,屋内施設,青森県,青森市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/The-Kids-gt8b
カクヒログループスーパーアリーナ キッズルーム,屋内施設,青森県,青森市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-cc9z
こどもはっち,屋内施設,青森県,八戸市,,0-1/2-3,無料,屋内,https://kyounoko.jp/spot/-hfox
ねぶたの家 ワ・ラッセ,博物館・科学館,青森県,青森市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-55hk
モヤヒルズ,公園,青森県,青森市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-hfjo
新青森県総合運動公園,公園,青森県,青森市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-knl4
青森県観光物産館アスパム,博物館・科学館,青森県,青森市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-n3ir
青森県立三沢航空科学館,博物館・科学館,青森県,三沢市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-emav
浅虫水族館,水族館,青森県,青森市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-o4ws
八戸公園（こどもの国）,遊園地,青森県,八戸市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-sbfl
八食センター,屋内施設,青森県,八戸市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-fh0p
ぐりんぱ（富士山2合目）,遊園地,静岡県,裾野市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-fmyc
伊豆アニマルキングダム,動物園,静岡県,東伊豆町,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-h2vd
伊豆ぐらんぱる公園,遊園地,静岡県,伊東市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-iey1
下田海中水族館,水族館,静岡県,下田市,,0-1/2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-s2nn
掛川花鳥園,動物園,静岡県,掛川市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-bfly
御殿場高原 時之栖 水中楽園AQUARIUM,水族館,静岡県,御殿場市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/AQUARIUM-zccz
沼津港深海水族館,水族館,静岡県,沼津市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-44f0
静岡科学館る・く・る,博物館・科学館,静岡県,静岡市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-i9h4
静岡市立日本平動物園,動物園,静岡県,静岡市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-wf5l
東海大学海洋科学博物館,水族館,静岡県,静岡市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ymw3
浜松市動物園,動物園,静岡県,浜松市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-da3s
浜名湖体験学習施設ウォット,水族館,静岡県,浜松市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-l99j
富士サファリパーク,動物園,静岡県,裾野市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-8edw
あそびの森 かほっくる,屋内施設,石川県,かほく市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-wbpl
あめるんパーク,屋内施設,石川県,金沢市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-bm4f
いしかわ動物園,動物園,石川県,能美市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-vqdn
こどもっちパークかなざわ,屋内施設,石川県,金沢市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-eau0
のとじま水族館,水族館,石川県,七尾市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-ow9l
銀河の里キゴ山,博物館・科学館,石川県,金沢市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-77nh
健民海浜公園,公園,石川県,金沢市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-c6mb
手取フィッシュランド,遊園地,石川県,能美市,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-zeib
石川県ふれあい昆虫館,博物館・科学館,石川県,白山市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-lcfp
石川県西田幾多郎記念哲学館,博物館・科学館,石川県,かほく市,,4-6,無料,屋内,https://kyounoko.jp/spot/-u2ag
石川県立航空プラザ,博物館・科学館,石川県,小松市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-ts4x
イオンモール幕張新都心,屋内施設,千葉県,千葉市,kaihimmakuhari,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-17hj
カンドゥー（イオンモール幕張新都心）,屋内施設,千葉県,千葉市,,4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-2r1b
ふくろうの杜（流山）,屋内施設,千葉県,流山市,,4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-et68
ふなばしアンデルセン公園,公園,千葉県,船橋市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-1e1o
ふなばしアンデルセン公園 にじの池,公園,千葉県,船橋市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-7bh1
マザー牧場,牧場,千葉県,富津市,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-bv97
鴨川シーワールド,水族館,千葉県,鴨川市,,0-1/2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-812n
県立青葉の森公園 水の広場,公園,千葉県,千葉市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-ypt6
航空科学博物館,博物館・科学館,千葉県,芝山町,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-8263
三井アウトレットパーク幕張,屋内施設,千葉県,千葉市,kaihimmakuhari,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-sk26
酒々井プレミアム・アウトレット,屋内施設,千葉県,酒々井町,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-xff9
千葉市動物公園,動物園,千葉県,千葉市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-dojn
袖ケ浦公園 じゃぶじゃぶ池,公園,千葉県,袖ケ浦市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-qe5h
東京ディズニーシー,遊園地,千葉県,浦安市,maihama,2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-e5gd
東京ディズニーランド,遊園地,千葉県,浦安市,maihama,0-1/2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-nnnr
南房総国民休暇村,公園,千葉県,館山市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-ueie
柏の葉公園 噴水広場,公園,千葉県,柏市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-v0qd
ATCあそびマーレ,屋内施設,大阪府,大阪市住之江区,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/ATC-k8cp
キッズプラザ大阪,屋内施設,大阪府,大阪市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-85ch
キッズランドUS 大阪ベイタワー店,屋内施設,大阪府,大阪市港区,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/US-g18b
ニフレル,水族館,大阪府,吹田市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-g0ov
ピュアハートキッズランド フレスポしんかな,屋内施設,大阪府,堺市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-svgc
ひらかたパーク,遊園地,大阪府,枚方市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-yg6v
海遊館,水族館,大阪府,大阪市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-f4z3
天王寺動物園,動物園,大阪府,大阪市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-ul3i
天保山大観覧車,遊園地,大阪府,大阪市港区,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-j0xb
万博記念公園,公園,大阪府,吹田市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-lnoy
うみたまご,水族館,大分県,大分市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-jr2m
キッズランドUS 大分由布挾間店,屋内施設,大分県,由布市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/US-0dhv
ザキッズ 大分トキハ店,屋内施設,大分県,大分市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-oiuo
ハーモニーランド,遊園地,大分県,日出町,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-4kk7
るるパーク（大分農業文化公園）,公園,大分県,杵築市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-jke7
九州自然動物公園アフリカンサファリ,動物園,大分県,宇佐市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-69vb
高崎山自然動物園,動物園,大分県,大分市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-ewhf
城島高原パーク,遊園地,大分県,別府市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-6y4v
大貞公園,公園,大分県,中津市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-c4hs
大分マリーンパレス水族館「うみたまご」,水族館,大分県,大分市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-hp1e
別府こどもあそびめぐり,屋内施設,大分県,別府市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-02eq
あぐりの丘,公園,長崎県,長崎市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-10j2
のぞみ公園,公園,長崎県,諫早市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-ec0q
ハウステンボス,遊園地,長崎県,佐世保市,,0-1/2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-lupq
プラザ大村 地域子育て支援センター,屋内施設,長崎県,大村市,,0-1/2-3,無料,屋内,https://kyounoko.jp/spot/-o9ca
九十九島水族館海きらら,水族館,長崎県,佐世保市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-ubng
九十九島動植物園森きらら,動物園,長崎県,佐世保市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-ops7
長崎バイオパーク,動物園,長崎県,西海市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-zlca
長崎ペンギン水族館,水族館,長崎県,長崎市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-07to
長崎県立総合運動公園,公園,長崎県,諫早市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-z7u2
長崎市科学館,博物館・科学館,長崎県,長崎市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-e352
長崎東公園,公園,長崎県,長崎市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-sawc
諫早市こどもの城,屋内施設,長崎県,諫早市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-5625
